Unnamed: 0.1,Unnamed: 0,id,title,author,issue,volume,venue,page,pub_date,type,publisher,editor,omid,langdetect,langdetect_prob,langid,langid_prob,overall,winner
4842748,4842748,omid:br/0670238286 pmid:34696187 doi:10.3390/vaccines9101079,Proteome-Wide Mapping And Reverse Vaccinology Approaches To Design A Multi-Epitope Vaccine Against Clostridium Perfringens,"Aldakheel, Fahad M [omid:ra/061028530 orcid:0000-0001-8047-8650]; Abrar, Amna [omid:ra/0670636207]; Munir, Samman [omid:ra/0670636208]; Aslam, Sehar [omid:ra/0670636209]; Allemailem, Khaled [omid:ra/0615013061 orcid:0000-0002-6486-9835]; Khurshid, Mohsin [omid:ra/0614010805 orcid:0000-0002-3196-2857]; Ashfaq, Usman A [omid:ra/06408838 orcid:0000-0002-5495-805X]",10,9.0,Vaccines [omid:br/061404042 issn:2076-393X doi:10.3390/vaccines],1079-1079,2021-09-26,journal article,Mdpi Ag [omid:ra/0610116165 crossref:1968],,omid:br/0670238286,en,0.9999957229186076,la,0.9373258352279664,en,langdetect
4447050,4447050,omid:br/061203541471 doi:10.3390/cancers14215405,Cancer Cachexia Among Patients With Advanced Non-Small-Cell Lung Cancer On Immunotherapy: An Observational Study With Exploratory Gut Microbiota Analysis,"Hakozaki, Taiki [omid:ra/06306767 orcid:0000-0002-9980-4417]; Nolin-Lapalme, Alexis [omid:ra/061209605194]; Kogawa, Masato [omid:ra/061209605195]; Okuma, Yusuke [omid:ra/061209605196 orcid:0000-0001-5743-0149]; Nakamura, Shohei [omid:ra/061209605197]; Moreau-Amaru, Danielle [omid:ra/061209605198]; Tamura, Taichi [omid:ra/061209605199]; Hosomi, Yukio [omid:ra/061209605200 orcid:0000-0002-3849-5905]; Takeyama, Haruko [omid:ra/061209605201]; Richard, Corentin [omid:ra/061209605202]; Hosokawa, Masahito [omid:ra/061209605203]; Routy, Bertrand [omid:ra/061209605204]",21.0,14,Cancers [omid:br/0624012964 issn:2072-6694 doi:10.3390/cancers],5405-5405,2022-11-02,journal article,Mdpi Ag [omid:ra/0610116165 crossref:1968],,omid:br/061203541471,en,0.9999945133543164,en,1.0,en,langid
9049223,9049223,omid:br/061902727265 doi:10.1007/s10614-021-10109-6,Numerical Simulation Of Non-cooperative And Cooperative Equilibrium Solutions For A Stochastic Government Debt Stabilization Game,"Nikooeinejad, Z. [omid:ra/061907695165]; Heydari, M. [omid:ra/061907695166]; Saffarzadeh, M. [omid:ra/061907695167]; Loghmani, G. B. [omid:ra/061907695168]; Engwerda, J. [omid:ra/061907695169]",2,59.0,Computational Economics [omid:br/0611062114 issn:0927-7099 issn:0921-2736 issn:1572-9974],775-801,2021-03-15,journal article,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/061902727265,en,0.999994158657512,en,0.998184621334076,en,langdetect
1483001,1483001,omid:br/06301187662 doi:10.1177/0146167220916622,Gendered White Lies: Women Are Given Inflated Performance Feedback Compared With Men,"Jampol, Lily [omid:ra/06303547446]; Zayas, Vivian [omid:ra/0626064778 orcid:0000-0002-9534-3721]",1,47,Personality And Social Psychology Bulletin [omid:br/0614024915 issn:0146-1672 issn:1552-7433],57-69,2020-05-18,journal article,Sage Publications [omid:ra/0610116008 crossref:179],,omid:br/06301187662,en,0.9999960355779008,en,1.0,en,langid
11040231,11040231,omid:br/061701870972 pmid:31964420 doi:10.1186/s42358-019-0108-2,Treatment Data From The Brazilian Fibromyalgia Registry (EpiFibro),"Assis, Marcos Renato [omid:ra/0612016866 orcid:0000-0002-6567-4570]; Dos Santos Paiva, Eduardo [omid:ra/061705531315]; Helfenstein, Milton [omid:ra/061705531316]; Heymann, Roberto Ezequiel [omid:ra/061705531317]; Pollak, Daniel Feldman [omid:ra/061705531318]; Provenza, Jose Roberto [omid:ra/061705531319]; Ranzolin, Aline [omid:ra/061705531320]; Rezende, Marcelo Cruz [omid:ra/061705531321]; Ribeiro, Luiz Severiano [omid:ra/061705531322]; Souza, Eduardo José R. [omid:ra/061705531323]; Martinez, José Eduardo [omid:ra/0619053473 orcid:0000-0002-3864-6822]",1,60.0,Advances In Rheumatology [omid:br/061701871431 issn:2523-3106],,2020-01-21,journal article,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/061701870972,en,0.7142815934778146,en,0.99999737739563,en,langid
5763110,5763110,omid:br/062301260899 doi:10.17826/cumj.976851,Effect Of Xanthogranulomatous Cholecystitis On Surgery,"Altiok, Merih [omid:ra/062303694390]; Kurt, Feyzi [omid:ra/062303694391]",4,46.0,Cukurova Medical Journal [omid:br/062301261726 issn:2602-3032],1351-1359,2021-12-30,journal article,Cukurova Medical Journal [omid:ra/0670114192 crossref:7261],,omid:br/062301260899,en,0.9999970659813268,lt,0.4261776506900787,en,langdetect
2975905,2975905,omid:br/06702299594 doi:10.1007/978-3-030-54359-4_3,Neurobiology Of The Control Of Sleep,"DelRosso, Lourdes M. [omid:ra/06706885255]; Wrede, Joanna E. [omid:ra/06706885256]; Lockhart, Carey T. [omid:ra/06706885257]; Cardinali, Daniel P. [omid:ra/06706885258]",,,Sleep Neurology [omid:br/06702300016 isbn:9783030543594 doi:10.1007/978-3-030-54359-4 isbn:9783030543587],31-44,2020-11-13,book chapter,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/06702299594,en,0.9999948145422194,en,0.9999986886978148,en,langid
1511314,1511314,omid:br/06110150441 doi:10.1186/s12870-019-2059-5 pmid:31638916,The Interplay Between miR156/SPL13 And DFR/WD40–1 Regulate Drought Tolerance In Alfalfa,"Feyissa, Biruk A. [omid:ra/061605498 orcid:0000-0003-4028-9411]; Arshad, Muhammad [omid:ra/06110362549]; Gruber, Margaret Y. [omid:ra/06110362550]; Kohalmi, Susanne E. [omid:ra/06110362551]; Hannoufa, Abdelali [omid:ra/061605499 orcid:0000-0003-0064-620X]",1,19,BMC Plant Biology [omid:br/06202636 issn:1471-2229],,2019-10-21,journal article,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/06110150441,en,0.9999960491426793,en,1.0,en,langid
10897687,10897687,omid:br/06230499596 doi:10.1093/jmicro/dfz045,LS-1 Local Electronic Structure Analysis And Its Mapping By STEM-EELS,"Haruta, Mitsutaka [omid:ra/062301395523]",Supplement_1,68,Microscopy [omid:br/06230500521 issn:2161-038X issn:2050-5698 issn:2050-5701],33-33,2019-11-01,journal article,Oxford University Press (Oup) [omid:ra/0610116027 crossref:286],,omid:br/06230499596,en,0.999996585135711,en,0.9999772310256958,en,langdetect
6180662,6180662,omid:br/061803919044 doi:10.3390/rs15061597,Assessing The Prospects Of Remote Sensing Maize Leaf Area Index Using UAV-Derived Multi-Spectral Data In Smallholder Farms Across The Growing Season,"Buthelezi, Siphiwokuhle [omid:ra/0618010926233]; Chimonyo, Vimbayi G. P. [omid:ra/0618010926234]; Clulow, Ad [omid:ra/0622026951 orcid:0000-0001-8803-8780]; Mabhaudhi, Tafadzwanashe [omid:ra/0618010925770 orcid:0000-0002-9323-8127]; Mutanga, Onisimo [omid:ra/0618010926235 orcid:0000-0002-7358-8111]; Odindi, John [omid:ra/0618010926236]; Sibanda, Mbulisi [omid:ra/0618010925771 orcid:0000-0002-4589-7099]",6,15.0,Remote Sensing [omid:br/0611043237 issn:2072-4292],1597-1597,2023-03-15,journal article,Mdpi Ag [omid:ra/0610116165 crossref:1968],,omid:br/061803919044,en,0.9999964774563076,en,1.0,en,langid
