Unnamed: 0.1,Unnamed: 0,id,title,author,issue,volume,venue,page,pub_date,type,publisher,editor,omid,langdetect,langdetect_prob,langid,langid_prob,overall,winner
293149,293149,omid:br/06303971322 doi:10.23917/jmp.v14i2.9486,Kecakapan Abad 21: Kompetensi Digital Pendidik Masa Depan,"Prayogi, Rayinda Dwi [omid:ra/063010944213 orcid:0000-0002-1362-2680]",2,14,Manajemen Pendidikan [omid:br/062601851133 issn:1907-4034 issn:2548-6780],,2020-01-23,journal article,Universitas Muhammadiyah Surakarta [omid:ra/0620116131 crossref:10003],,omid:br/06303971322,id,0.999998870825146,ms,0.7999027967453003,id,langdetect
1987012,1987012,omid:br/061701817404 doi:10.9785/mdtr-2020-742065,Viel Hilft Viel,[omid:ar/061707930531],20,74.0,Monatsschrift Für Deutsches Recht [omid:br/061701818238 issn:2194-4202 issn:0340-1812],15-15,2020-10-01,journal article,Verlag Dr. Otto Schmidt [omid:ra/0620115572 crossref:4802],,omid:br/061701817404,de,0.9999943634330248,de,0.7221594452857971,de,langdetect
10638939,10638939,omid:br/062201902547 doi:10.26874/jt.vol18no2.100,Desain Teknis Penyediaan Air Baku Kecamatan Nangabadau – Kabupaten Kapuashulu,"Farfian, Roni [omid:ra/062205748002]",2,18,Jurnal Teknik: Media Pengembangan Ilmu Dan Aplikasi Teknik [omid:br/062201903240 issn:1412-8810 issn:2580-2615],67-67,2020-04-07,journal article,Fakultas Teknik (Ft) Universitas Jenderal Achmad Yani (Unjani) [omid:ra/062205747994 crossref:34941],,omid:br/062201902547,id,0.9999976219153917,ms,0.5182357430458069,id,langdetect
3113029,3113029,omid:br/0670639501 doi:10.12968/pnur.2020.31.10.423,Understanding COVID-19 In At-Risk Patients,"Perry, Margaret Ann [omid:ra/06701831070]",10,31,Practice Nursing [omid:br/0623014140 issn:2052-2940 issn:0964-9271],423-426,2020-10-02,journal article,Mark Allen Group [omid:ra/0610116161 crossref:5130],,omid:br/0670639501,de,0.8571371222911309,da,0.62934410572052,de,langdetect
8902887,8902887,omid:br/06103980561 doi:10.15673/atbp.v14i3.2351,Зменшення Похибки Гіровертикалі При Хитавиці Об’Єкта,"Нестеренко, О.І. [omid:ra/062307024409 orcid:0000-0002-5564-0182]; Платов, І. М. [omid:ra/061010676861 orcid:0000-0001-9587-9625]; Бугайов, Д. В. [omid:ra/061010676862 orcid:0000-0002-9691-8654]",3,14,Automation Of Technological And Business Processes [omid:br/062302420668 issn:2312-931X issn:2312-3125],37-42,2022-10-11,journal article,Odesa National University Of Technology [omid:ra/0630115102 crossref:6339],,omid:br/06103980561,uk,0.9999975003491371,uk,1.0,uk,langid
6551189,6551189,omid:br/06370346466 doi:10.15057/30315,論説 アラブ社会におけるダイグロシアと言語意識 : エジプトを例にして,"ハガグ, ラナ [omid:ra/06370791807]",,13,言語社会 [omid:br/06370346860],390-373,2019-03-31,journal article,一橋大学大学院言語社会研究科 [omid:ra/06370791808],,omid:br/06370346466,ja,0.9999999933715908,ja,1.0,ja,langid
8437412,8437412,omid:br/06601044383 doi:10.1002/oa.3092,Length Estimation Of Atlantic Bluefin Tuna ( Thunnus Thynnus ) Using Vertebrae,"Andrews, Adam J [omid:ra/06190100108 orcid:0000-0002-9000-6523]; Mylona, Dimitra [omid:ra/06603068215]; Rivera-Charún, Lucia [omid:ra/06603068216 orcid:0000-0002-3507-0039]; Winter, Rachel [omid:ra/06603068217]; Onar, Vedat [omid:ra/06603068218]; Siddiq, Abu Bakar [omid:ra/069058628 orcid:0000-0001-5838-2695]; Tinti, Fausto [omid:ra/065010173 orcid:0000-0002-8649-5387]; Morales-Muniz, Arturo [omid:ra/06603068219]",3,32.0,International Journal Of Osteoarchaeology [omid:br/0621020941 doi:10.1002/(issn)1099-1212 issn:1099-1212 issn:1047-482X],645-653,2022-02-02,journal article,Wiley [omid:ra/0610116001 crossref:311],,omid:br/06601044383,en,0.8571388583143802,es,0.995352268218994,es,langid
3184092,3184092,omid:br/062402619439 doi:10.15448/1677-9509.2021.1.38618,Cultura De Paz,"Oliveira, Simone Barros De [omid:ra/0680107522 orcid:0000-0002-7314-3550]; Vieira, Monique Soares [omid:ra/062407511694 orcid:0000-0002-4463-5724]; Brum, Letícia [omid:ra/0680107523 orcid:0000-0001-8760-4373]",1,20,Textos & Contextos (Porto Alegre) [omid:br/062402619540 doi:10.15448/1677-9509 issn:1677-9509],e38618-e38618,2021-12-30,journal article,Edipucrs [omid:ra/0610116312 crossref:6535],,omid:br/062402619439,ro,0.9999955915269164,nl,0.8568822145462036,ro,langdetect
6384729,6384729,omid:br/06802415968 doi:10.11606/issn.1679-9836.v99i1p56-61,Avaliação Do Impacto E Efetividade Do Treinamento De Crianças Em Suporte Básico De Vida,"Barbosa, Heloise Gabriela Dias [omid:ra/06807163353 orcid:0000-0001-8775-1453]; Santana, Lucas Richartz [omid:ra/06807163354 orcid:0000-0002-4816-9046]; Nicolini, Eveline Montessi [omid:ra/0625097710 orcid:0000-0002-4973-2398]",1,99.0,Revista De Medicina [omid:br/06802416267 issn:0034-8554 issn:1679-9836],56-61,2020-02-03,journal article,"Universidade De Sao Paulo, Agencia Usp De Gestao Da Informacao Academica (Aguia) [omid:ra/0610116292 crossref:4873]",,omid:br/06802415968,pt,0.9999991666629312,pt,1.0,pt,langid
4985315,4985315,omid:br/061601939191 doi:10.22478/ufpb.1981-0695.2019v14n1.44872,Acesso À Informação Financeira Em Websites: Uma Análise Do Portal Da Transparência Da Prefeitura Municipal De Marcação/PB Sob A Perspectiva Da Arquitetura Da Informação,"Saege, Márcia Maria De Medeiros Travassos [omid:ra/061605755363]; Barros, Antoni Junio Soares Ribeiro De [omid:ra/061605755364]; Andrade, Tabira De Souza [omid:ra/061605755365]; Ferreira, Danilo De Sousa [omid:ra/061605755366]",1,14,Pesquisa Brasileira Em Ciência Da Informação E Biblioteconomia [omid:br/061601940186 issn:1981-0695],,2019-03-16,journal article,Portal De Periodicos Ufpb [omid:ra/0620115599 crossref:9775],,omid:br/061601939191,pt,0.9999968376631688,pt,1.0,pt,langid
3473637,3473637,omid:br/062301556397 doi:10.1007/s11868-021-00412-z,$$\Psi $$-Mittag–Leffler Pseudo-Fractional Operators,"Oliveira, Daniela Dos Santos [omid:ra/0613032052 orcid:0000-0001-8640-2091]",3,12,Journal Of Pseudo-Differential Operators And Applications [omid:br/062301557755 issn:1662-999X issn:1662-9981],,2021-06-29,journal article,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/062301556397,it,0.8571395400519196,fi,0.9414034485816956,fi,langid
7547059,7547059,omid:br/062602296808 doi:10.1017/9781108558785.011,Index,[omid:ar/0626010097265],,,Understanding Religious Experience [omid:br/062602297555],341-352,2019-11-30,book chapter,Cambridge University Press (Cup) [omid:ra/0610116004 crossref:56],,omid:br/062602296808,de,0.5714273132660361,en,0.169461503624916,de,langdetect
2116080,2116080,omid:br/06430144304 doi:10.13109/ggan.2022.274.1-2.45,"Sebastian Günther, Dorothee Pielow (Hgg.): Die Geheimnisse Der Oberen Und Unteren Welt. Magie Im Islam Zwischen Glaube Und Wissenschaft","Forster, Regula [omid:ra/06430409773]",1-2,274.0,Göttingische Gelehrte Anzeigen [omid:br/06430144539 issn:2196-9035 issn:0017-1549],45-57,2022-02-22,journal article,Brill Deutschland GmbH [omid:ra/0610116155 crossref:16089],,omid:br/06430144304,de,0.9999966900573796,de,1.0,de,langid
4470389,4470389,omid:br/0627091293 doi:10.31455/asya.492970,Eş Anlamliliğin Arap Di̇Li̇ Öğreti̇Mi̇Nde Kullanilmasi,"Oğuz, Orhan [omid:ra/06330211773 orcid:0000-0001-5467-3671]",8,2.0,Asya Studies [omid:br/062301790573 issn:2602-2877],1-8,2019-06-30,journal article,Akademik Sosyal Arastirmalar Dergisi (Asya Studies) [omid:ra/062305360948 crossref:16499],,omid:br/0627091293,tr,0.9999988464345012,tr,0.9999998807907104,tr,langid
259489,259489,omid:br/062203850871 doi:10.5281/zenodo.5944091,Asynapta Inflata Spungis. In 1988,Jaschhof Catrin [omid:ra/0622010658982]; Jaschhof Mathias [omid:ra/0622010658983],,,,,2019-05-14,,Zenodo [omid:ra/0622010658984],,omid:br/062203850871,tl,0.9999949949867482,de,0.330828994512558,tl,langdetect
