Unnamed: 0,id,title,author,issue,volume,venue,page,pub_date,type,publisher,editor,omid,detected_language,confidence
1782268,omid:br/06310140760 doi:10.1007/s00103-022-03630-y,"Klinische Prüfung Von Arzneimitteln – Erste Erfahrungen Mit Der Neuen EU-Verordnung 536/2014, Herausforderungen Und Chancen Für Auftragsforschungsinstitute","Chase, Dagmar [omid:ra/06310382257]; Roder, Beate [omid:ra/06310382258]; Romero Matuschek, Iris [omid:ra/06310382259]",1,66.0,Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz [omid:br/0611071217 issn:1436-9990 issn:1437-1588],21-27,2022-12-16,journal article,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/06310140760,de,1.0
10649684,omid:br/061702596536 doi:10.1007/s40278-019-68146-z,Aflibercept/ranibizumab,[omid:ar/0617010809935],1.0,1772.0,Reactions Weekly [omid:br/061036202 issn:0114-9954 issn:1179-2051],19-19,2019-09-28,journal article,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/061702596536,rw,0.7551932334899902
4252734,omid:br/0604558363 doi:10.18999/nujlp.282.2,和田肇先生 惜別の辞、経歴と業績,[omid:ar/06017314818],,282,名古屋大学法政論集 [omid:br/0604504660 issn:0439-5905],17-34,2019-06-25,journal article,名古屋大学大学院法学研究科 [omid:ra/06012767553],,omid:br/0604558363,ja,1.0
7320042,omid:br/06503903818 doi:10.21203/rs.3.rs-1922811/v1,Dose-dependent Effect Of Canine Lyophilized Platelet On An In Vitro Hemodilution Model,"Kim, Mu-Young [omid:ra/065010722109 orcid:0000-0003-3127-6272]; Han, Hyun-Jung [omid:ra/065010722110 orcid:0000-0002-9515-5640]",,,,,2022-08-26,web content,Research Square Platform Llc [omid:ra/0640115389 crossref:8761],,omid:br/06503903818,it,0.6430558562278748
2422944,omid:br/0650789253 doi:10.1080/15376494.2022.2070937,A Comprehensive Analysis Of Damage Behaviors Of Composite Sandwich Structures Under Localized Impact,"Deng, Jian [omid:ra/061034028 orcid:0000-0003-4865-0582]; Gong, Xin [omid:ra/06502316770]; Xue, Pu [omid:ra/06502316771]; Yin, Qiaozhi [omid:ra/06502316772]; Wang, Xinwei [omid:ra/06502316773]",,,Mechanics Of Advanced Materials And Structures [omid:br/0625014033 issn:1537-6532 issn:1537-6494],1-14,2022-05-04,journal article,Informa Uk Limited [omid:ra/0610116005 crossref:301],,omid:br/0650789253,de,0.9982684850692748
11227333,omid:br/06801909245 doi:10.1109/asid52932.2021.9651703,Porting RT-Thread To AnnikaSoC,"Li, Zhirui [omid:ra/06806012141]; Li, Jian [omid:ra/06806012142]; Zhang, Yunrui [omid:ra/06806012143]; Zhou, Jianyang [omid:ra/06806012144]; Guo, Zichao [omid:ra/06806012145]",,,"2021 IEEE 15Th International Conference On Anti-counterfeiting, Security, And Identification (ASID) [omid:br/06801910228]",,2021-10-29,proceedings article,Institute Of Electrical And Electronics Engineers (Ieee) [omid:ra/0610116052 crossref:263],,omid:br/06801909245,pl,0.4643448889255523
7046094,omid:br/06802368245 doi:10.35757/kis.2019.63.2.11,Czy Jesteśmy Odpowiedzialni Za Wspólny Świat? Wojna W Syrii I Dylematy Współczesnego Zachodu,"Rapior, Waldemar [omid:ra/06807037569 orcid:0000-0002-3664-7821]",2,63.0,Kultura I Społeczeństwo [omid:br/06802368426 issn:2300-195X issn:0023-5172],275-302,2019-12-18,journal article,Institute Of Political Studies - Polish Academy Of Sciences [omid:ra/0660115411 crossref:21122],,omid:br/06802368245,pl,1.0
7493085,omid:br/06150295080 doi:10.1109/jsen.2019.2912400,Using AKF-PSR To Compensate Random Drift Errors Of Low-Cost MEMS Gyroscopes,"Xiao, Chunsheng [omid:ra/06160106536 orcid:0000-0003-3867-0707]; Zhu, Qingyuan [omid:ra/06150840145]; Hu, Huosheng [omid:ra/0625011456 orcid:0000-0001-5797-1412]; Zhang, Xiaoyu [omid:ra/06150840146]; Chen, Xuanwei [omid:ra/06150840147]; Song, Xinyi [omid:ra/06150840148]",16,19.0,IEEE Sensors Journal [omid:br/061205411 issn:1558-1748 issn:2379-9153 issn:1530-437X doi:10.1109/jsen.7361],6802-6810,2019-08-15,journal article,Institute Of Electrical And Electronics Engineers (Ieee) [omid:ra/0610116052 crossref:263],,omid:br/06150295080,de,0.6650518178939819
5886364,omid:br/0649074873 doi:10.32749/nucleodoconhecimento.com.br/lei/controle-judicial,O Controle Judicial Das Execuções Extrajudiciais De Garantia Hipotecária E Fiduciária,"Pellegrinelli, Eduardo Palma [omid:ra/06490235553]",,,Revista Científica Multidisciplinar Núcleo Do Conhecimento [omid:br/0618045602 doi:10.32749/nucleodoconhecimento issn:2448-0959],133-159,2022-12-30,journal article,Revista Cientifica Multidisciplinar Nucleo Do Conhecimento [omid:ra/0660115150 crossref:18045],,omid:br/0649074873,pt,1.0
5583787,omid:br/0680809398 doi:10.13140/rg.2.2.16883.58403 doi:10.1007/s40687-019-0198-9,Hessian Transport Gradient Flows,"Li, Wuchen [omid:ra/0625013276 orcid:0000-0002-2218-5734]; Ying, Lexing [omid:ra/06802376350]",4,6,Research In The Mathematical Sciences [omid:br/0680809976 issn:2522-0144 issn:2197-9847],,2019-10-28,journal article,Springer Science And Business Media Llc [omid:ra/0610116006 crossref:297],,omid:br/0680809398,de,0.5044514536857605
